Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
1. WebSocket Open Connection,8000,19,5,66,93,116,0,128,1.425%,997.00897,141.09,148.76
2. STOMP Connect,8000,0,0,1,1,1,0,42,1.425%,.00000,0.00,0.00
3. Read CONNECTED,8000,149,0,658,692,713,0,741,1.425%,.00000,0.00,0.00
4. STOMP Subscribe (room topic),8000,0,0,0,1,1,0,1,1.425%,.00000,0.00,0.00
5. STOMP Join Game (/app/join),8000,0,0,0,1,1,0,1,1.425%,.00000,0.00,0.00
6. Read 1st Question (等待對手加入),8000,285,0,695,736,972,0,30013,1.575%,.00000,0.00,0.00
6.2 Send Answer (/app/answer),79964,0,0,0,1,1,0,39,1.426%,.00004,0.00,0.00
6.3 Read Score (分數),79952,66,0,0,164,1794,0,12016,1.516%,.00004,0.00,0.00
6.4 Read Next Question (或 GameOver),79952,59,0,0,1,1901,0,12016,1.516%,.00004,0.00,0.00
7. STOMP Unsubscribe,7988,0,0,1,1,1,0,7,1.427%,.00000,0.00,0.00
8. STOMP Disconnect,7988,0,0,1,1,1,0,48,1.427%,.00000,0.00,0.00
9. Initialize Drain Flag,7988,7,3,22,26,62,0,99,0.000%,265.27630,0.00,0.00
Read Frame (Drain),188050,552,1000,1011,1013,1020,0,1097,19.820%,.00011,0.00,0.00
WebSocket Close,7874,1,1,2,3,7,0,90,0.000%,413.59386,10.91,12.52
總計,507756,231,0,1007,1011,1025,0,30013,8.224%,.00029,0.00,0.00
